Emotion,Symbol(全て全角),emoji
安らぎ,安,(●´ω`●)
楽しさ,楽,（*＾ワ＾*）
親しみ,親,
尊敬・尊さ,尊,(✪▽✪)すっごーい!
感謝,感,('-'*)ｱﾘｶﾞﾄ♪
気持ちが良い,気,(^○^)
誇らしい,誇,
感動,動,・:*:・感(*ﾉ∀｀*)動・:*:・
喜び,喜,ｻｲｺ─m9(◎ω◎*)─ｯ!!!
悲しさ,悲,ｶﾅ─･ﾟ･(´っω･｡)･ﾟ･─ｼｨ…
寂しさ,寂,･ﾟ･(lll´_｀)｡o○(ｻﾋﾞｼｨ…)
不満,不,（●｀ε´●） ぶー
切なさ,切,(´･_･`)
苦しさ,苦,(￣Д)＝３
不安,ふ,[壁]ﾉω-`)ﾊｧｰ
憂鬱,鬱,(ーー;)．。ｏＯ(･････)
辛さ,辛,ε-(；-ω-｀A) ﾌｩ… 
好き,好,ｽｷ━(〃ﾟ∀ﾟ〃)━!!
嫌悪,嫌,ｍ(´･（ｴ）･`)ｍｷﾗｲ
恥ずかしい,恥,(´～｀ヾ)
焦り,焦,"(；´∀｀)	"
驚き,驚,(゜ロ゜)ギョェ
怒り,怒,(*'へ'*)ぷんぷん
幸福感,幸,ﾟ+o｡ヽ(圉*´∀`*圉)ﾉ｡o+ﾟ
恨み,恨,～(m~-~)ノ　～(((怨
恐れ（恐縮等の意味で）,恐,(´罒`;)ゞ
恐怖,怖,(llﾟДﾟ)怖ァ・・
悔しさ,悔,(T^T) くぅぅ～
祝う気持ち,祝,ヾ(*~∀~*)ゞ ｵﾒﾃﾞﾄｫｰ
困惑,困,ヽ(´Д｀ヽミノ´Д｀)ノ
きまずさ,き,…(ﾟⅩﾟ)…。
興奮,興,(*'д`*)ﾊｧﾊｧ・・
悩み,悩,(￣へ￣|||) ｳｰﾑ
願望,願,m(._.)m おねがい
失望,失,（；?д｀ ） トホホ
あわれみ,憐,
見下し,見,ﾌﾟｷﾞｬ━━━━━━m9(^Д^)━━━━━━ !!!!!!
謝罪,謝,m(-_-)m ｽﾏﾇ
ためらい,た,(-_-;)
不快,Ｆ,
怠さ,怠,_(:3」∠)_
あきれ,あ,┐('～`；)┌
心配,心,大丈夫(´・ω・｀)？
緊張,緊,|緊張|ｮﾟДﾟ；))))ﾄﾞｷﾄﾞｷ
妬み,妬,
憎い,憎,
残念,残,o(*>Д<)ゝ ＜ ｻﾞﾝﾈ－ﾝｯ!!
情けない,情,
穏やか,穏,(っ´ω`ｃ)
